职位id,关系,薪资
866,所开薪资,6-7K
867,所开薪资,7-9K·13薪
868,所开薪资,7-10K
869,所开薪资,8-12K
870,所开薪资,5-10K
871,所开薪资,5-9K
872,所开薪资,7-12K·14薪
873,所开薪资,5-8K
874,所开薪资,6-10K
875,所开薪资,4-7K
876,所开薪资,8-10K
877,所开薪资,3-7K
878,所开薪资,8-10K
879,所开薪资,6-10K
880,所开薪资,5-10K
881,所开薪资,5-10K
882,所开薪资,7-12K
883,所开薪资,5-10K
884,所开薪资,8-10K
885,所开薪资,6-11K
886,所开薪资,8-13K
887,所开薪资,7-12K
888,所开薪资,8-13K
889,所开薪资,5-9K
890,所开薪资,6-10K
891,所开薪资,5-6K
892,所开薪资,5-8K
893,所开薪资,6-9K
894,所开薪资,8-10K
895,所开薪资,8-13K·13薪
896,所开薪资,8-13K
897,所开薪资,8-12K
898,所开薪资,5-8K
899,所开薪资,5-6K·13薪
900,所开薪资,7-8K
901,所开薪资,5-8K
902,所开薪资,6-7K
903,所开薪资,6-10K
904,所开薪资,5-8K·13薪
905,所开薪资,6-10K
906,所开薪资,7-10K·13薪
907,所开薪资,8-12K
908,所开薪资,6-10K·13薪
909,所开薪资,8-10K
910,所开薪资,4-8K
911,所开薪资,5-10K
912,所开薪资,9-11K
913,所开薪资,7-9K
914,所开薪资,9-12K
915,所开薪资,6-10K
916,所开薪资,6-8K
917,所开薪资,8-13K
918,所开薪资,6-9K
919,所开薪资,5-10K
920,所开薪资,9-14K
921,所开薪资,4-6K
922,所开薪资,5-8K
923,所开薪资,7-9K
924,所开薪资,6-11K
925,所开薪资,7-8K
926,所开薪资,6-10K
927,所开薪资,7-12K
928,所开薪资,6-10K
929,所开薪资,5-10K
930,所开薪资,9-12K·13薪
931,所开薪资,6-8K
932,所开薪资,4-8K
933,所开薪资,6-9K
934,所开薪资,5-9K
935,所开薪资,7-10K
936,所开薪资,5-8K
937,所开薪资,6-8K
938,所开薪资,7-11K
939,所开薪资,6-8K
940,所开薪资,6-11K·13薪
941,所开薪资,6-8K
942,所开薪资,6-10K
943,所开薪资,6-11K
944,所开薪资,5-8K
945,所开薪资,4-6K
946,所开薪资,6-8K
947,所开薪资,6-10K
948,所开薪资,5-10K
949,所开薪资,7-12K·13薪
950,所开薪资,8-13K
951,所开薪资,6-11K
952,所开薪资,5-8K
953,所开薪资,8-10K
954,所开薪资,4-6K·13薪
955,所开薪资,6-10K
956,所开薪资,5-10K
957,所开薪资,9-14K
958,所开薪资,4-6K
959,所开薪资,5-10K
960,所开薪资,7-12K
961,所开薪资,5-8K
962,所开薪资,8-13K
963,所开薪资,9-13K
964,所开薪资,7-12K
965,所开薪资,6-11K
966,所开薪资,3-8K
967,所开薪资,6-7K
968,所开薪资,5-9K
969,所开薪资,5-8K
970,所开薪资,7-10K·13薪
971,所开薪资,6-8K
972,所开薪资,4-6K
973,所开薪资,6-11K
974,所开薪资,7-8K·13薪
975,所开薪资,4-8K
976,所开薪资,5-8K
977,所开薪资,9-14K
978,所开薪资,4-8K
979,所开薪资,4-7K
980,所开薪资,4-6K
981,所开薪资,4-6K
982,所开薪资,6-10K
983,所开薪资,6-8K
984,所开薪资,4-8K
985,所开薪资,6-10K
986,所开薪资,4-6K
987,所开薪资,6-11K·13薪
988,所开薪资,7-12K
989,所开薪资,7-9K·13薪
990,所开薪资,3-6K
991,所开薪资,5-10K
992,所开薪资,6-10K·13薪
993,所开薪资,6-11K
994,所开薪资,8-10K
995,所开薪资,5-8K
996,所开薪资,7-14K
997,所开薪资,7-9K
998,所开薪资,7-10K
999,所开薪资,6-10K
1000,所开薪资,4-7K
1001,所开薪资,6-10K
1002,所开薪资,3-6K
1003,所开薪资,8-13K
1004,所开薪资,6-8K
1005,所开薪资,6-10K·13薪
1006,所开薪资,8-12K
1007,所开薪资,6-8K
1008,所开薪资,6-10K
1009,所开薪资,5-10K
1010,所开薪资,3-6K·13薪
1011,所开薪资,8-11K
1012,所开薪资,6-10K·13薪
1013,所开薪资,9-12K
1014,所开薪资,5-8K
1015,所开薪资,6-8K
1016,所开薪资,6-10K
1017,所开薪资,8-12K
1018,所开薪资,8-12K
1019,所开薪资,8-12K
1020,所开薪资,3-8K
1021,所开薪资,8-13K
1022,所开薪资,4-9K
1023,所开薪资,7-12K
1024,所开薪资,8-12K
1025,所开薪资,6-10K
1026,所开薪资,7-12K
1027,所开薪资,6-8K
1028,所开薪资,9-14K·13薪
1029,所开薪资,6-11K·14薪
1030,所开薪资,8-10K·13薪
