职位id,关系,薪资
1370,,20-21K·13薪
1371,,15-23K
1372,,15-23K
1373,,20-25K
1374,,20-25K·13薪
1375,,18-30K·13薪
1376,,24-40K
1377,,15-25K
1378,,20-24K
1379,,17-23K·13薪
1380,,20-35K
1381,,14-25K·13薪
1382,,11-22K·13薪
1383,,20-40K
1384,,20-25K
1385,,16-21K
1386,,15-25K
1387,,15-23K
1388,,15-25K
1389,,18-25K·13薪
1390,,30-35K·14薪
1391,,15-22K
1392,,14-25K·13薪
1393,,15-25K
1394,,20-30K
1395,,15-23K
1396,,20-30K
1397,,15-25K·13薪
1398,,20-35K·13薪
1399,,16-25K
1400,,15-30K
1401,,15-25K
1402,,20-25K·14薪
1403,,15-25K
1404,,14-28K
1405,,20-21K
1406,,20-30K
1407,,18-30K·13薪
1408,,16-21K
1409,,15-23K
1410,,20-21K
1411,,20-35K
1412,,20-30K·13薪
1413,,15-30K·14薪
1414,,11-22K
1415,,20-25K·14薪
1416,,11-22K
1417,,14-22K
1418,,20-22K
1419,,20-25K
1420,,15-25K
1421,,20-25K·13薪
1422,,25-28K
1423,,15-25K·13薪
1424,,15-30K
1425,,15-25K
1426,,12-22K
1427,,18-23K·13薪
1428,,11-22K·13薪
1429,,20-30K·16薪
1430,,13-25K
1431,,20-23K·14薪
1432,,15-30K·16薪
1433,,20-40K·14薪
1434,,20-30K·13薪
1435,,20-21K
1436,,15-30K
1437,,30-45K·13薪
1438,,20-30K
1439,,15-30K
1440,,14-22K·14薪
1441,,16-22K
1442,,13-22K
1443,,20-30K·13薪
1444,,15-25K
1445,,18-21K·13薪
1446,,20-30K·15薪
1447,,22-30K·14薪
1448,,17-25K
1449,,15-30K
1450,,15-25K
1451,,20-21K
1452,,12-22K·13薪
1453,,15-25K·14薪
1454,,25-50K·15薪
1455,,14-25K
1456,,18-35K
1457,,16-26K
1458,,15-25K·13薪
1459,,20-40K·16薪
1460,,12-24K
1461,,12-24K
1462,,15-25K
1463,,12-22K
1464,,20-30K·14薪
1465,,11-22K
1466,,15-22K
1467,,15-24K
1468,,11-22K·13薪
1469,,15-25K
1470,,15-21K·13薪
1471,,16-22K
1472,,18-21K·13薪
1473,,18-25K·13薪
1474,,15-25K
1475,,20-29K·13薪
1476,,12-24K
1477,,20-21K
1478,,20-28K
1479,,16-25K
1480,,18-25K·13薪
1481,,18-25K
1482,,12-22K
1483,,11-22K
1484,,11-22K
1485,,15-25K
1486,,14-24K
1487,,16-25K
1488,,20-21K
1489,,16-24K·13薪
1490,,20-21K
1491,,15-25K
1492,,15-30K
1493,,15-30K
1494,,20-30K
